Codigo_Producto_SKU,Nombre,Descripcion_Producto,Stock,Categoria,Imagen(url del servidor)
INV-1107,Pegamento de Contacto Transparente,Adhesivo multiuso de secado rápido. 100ml.,NULL,QUÍMICOS,https://server.com/img/pegamento_107.jpg
1108,Juego de Brocas HSS Titanio 20pcs,Brocas de acero rápido con recubrimiento de titanio para me,95,Brocas,https://server.com/img/brocas_108.jpg
"N/A,Regulador de Presión de Agua 1/2"",Regulador para instalaciones de fontanería.,30,FONTANERIA,https://server.com/img/reg_presion_109.jpg"
1110,Foco LED Industrial 150W,Foco de alta luminosidad para naves industriales.,50,ILUMINACION,https://server.com/img/foco_110.jpg
"1111,Grifo de Bola PVC 1"",Válvula de esfera para control de flujo de agua.,120,fontaneria,https://server.com/img/grifo_111.jpg"
SKU-1112,Pintura Epóxica para Pisos 1 Gl,Recubrimiento de alta resistencia para suelos de concreto.,5,PINTURA,https://server.com/img/pintura_112.jpg
1113,Cuchilla para Cúter Industrial,Cuchillas de repuesto de alta durabilidad.,300,Consumibles,https://server.com/img/cuchilla_113.jpg
1114-B,Arnés de Seguridad Corporal,Arnés completo de 5 puntos de anclaje.,15,SEGURIDAD,NULL
NULL,Silicona de Alta Temperatura,Sellador de silicona para motores y hornos.,180,quimicos,https://server.com/img/silicona_115.jpg
1116,Tornillos Cabeza Hexagonal,Tornillo estructural galvanizado.,-1,Fijaciones,https://server.com/img/tornillo_116.jpg
1117,Bomba de Agua Periférica 1/4 HP,Bomba autocebante para uso doméstico.,8,Jardinería,https://server.com/img/bomba_117.jpg
SKU_1118,Tubo de Cobre 3/4 pulgada,Tubo rígido para instalaciones de gas o agua.,40,FONTANERIA,https://server.com/img/tubo_118.jpg
1119,Linterna de Mano Recargable,Linterna táctica de alto poder lumínico.,100,iluminación,https://server.com/img/linterna_119.jpg
INV-1120,Kit de Llaves Combinadas 10pcs,Set de llaves mixtas en estuche de tela.,70,HERRAMIENTAS MANUALES,https://server.com/img/llaves_120.jpg
SKU-1001,Martillo de Uña Curva 20oz,Martillo profesional con cabeza forjada y mango de fibra de vidrio.,45,HERRAMIENTAS MANUALES,https://server.com/img/martillo_001.jpg
1002-A,Lijadora Orbital Bosch GEX 125-1,Lijadora excéntrica de 125 mm con velocidad ajustable.,-5,Herramientas,https://server.com/img/lijadora_002.jpg
NULL,Kit de Tornillos y Tacos,Surtido de tornillos autorroscantes y tacos de plástic,150,Tornillos,https://server.com/img/tornillos_003.jpg
4532B,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado mate.,12,Pintura,https://server.com/img/pintura_004.jpg
SKU_4005,Guantes de Seguridad Nitrilo,Guantes resistentes a químicos, talla L.,120,Seguridad,https://server.com/img/guantes_005.jpg
77-PRM,Taladro Percutor Inalámbrico,Potente taladro a batería de 18V con cargador rápido.,NULL,Herramientas,https://server.com/img/taladro_006.jpg
1007,Manguera de Jardín Reforzada 25m,Manguera de PVC tricapa, resistente a torceduras.,90,JARDINERÍA,https://server.com/img/manguera_007.jpg
"N/A,Sierra Circular Eléctrica 7 1/4"",Herramienta eléctrica para cortes rápidos y precisos en madera.,33,Herramientas,https://server.com/img/sierra_008.jpg"
1009,Cinta Métrica Autoretractil 5m,Cinta de acero recubierta de nylon.,55,HERRAMIENTAS MANUALES,NULL
SKU-1010,Bombilla LED E27 10W Blanca,Bombilla de bajo consumo, luz fría.,1000,ILUMINACION,https://server.com/img/led_010.jpg
1011,Adhesivo Sellador de Silicona,Silicona acética para sellar juntas y fisuras. Color blanco.,145,quimicos,https://server.com/img/silicona_011.jpg
4532C,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado satín.,NULL,Pinturas,https://server.com/img/pintura_012.jpg
1013,Escalera Plegable Aluminio 3m,Escalera de tijera con peldaños antideslizantes.,18,SEGURIDAD,https://server.com/img/escalera_013.jpg
1014-X,Lámpara Solar de Exterior,Foco con sensor de movimiento y panel solar integrado.,-10,iluminación,https://server.com/img/lampara_014.jpg
SKU-1015,Candado de Seguridad Latón 50mm,Candado de arco largo, resistente a la corrosión.,95,HERRAJES,https://server.com/img/candado_015.jpg
NULL,Pasta para Soldar Estaño,Pasta fundente para soldadura electrónica. Contiene plomo.,200,soldadura,https://server.com/img/pasta_sold_016.jpg
9999,Nivel Láser Autonivelante,NULL,25,Herramientas,https://server.com/img/nivel_laser_017.jpg
"1018,Llave Ajustable Cromada 12"",Herramienta manual de acero forjado y acabado cromo.,70,Manuales,https://server.com/img/llave_ajust_018.jpg"
1019,Tubo PVC 1/2 pulgada,Tubo rígido para instalaciones eléctricas y de fontanería.,150,FONTANERIA,https://server.com/img/tubo_pvc_019.jpg
INV-2020,Electrodos para Soldadura 6013,Electrodos de rutilo para soldadura de acero al carbono.,50,SOLDADURA,https://server.com/img/electrodos_020.jpg
"1021,Discos de Corte para Metal 4.5"",Disco abrasivo de óxido de aluminio.,100,CONSUMIBLES,https://server.com/img/disco_corte_021.jpg"
SKU-1022,Brocas para Concreto Set 5pcs,Set de brocas de widia para perforar hormigón.,-2,Brocas,https://server.com/img/brocas_022.jpg
1023,Rodillo de Pintura Antigoteo,Rodillo de lana sintética de 9 pulgadas.,180,pintura,https://server.com/img/rodillo_023.jpg
INVALID,Lona de Polietileno 3x4m,Lona impermeable y resistente a UV.,40,SEGURIDAD,NULL
1025,Pistola de Silicona Reforzada,Pistola para cartuchos de sellador, de aluminio.,75,Herramientas,https://server.com/img/pistola_025.jpg
1026,Cargador Batería 18V Litio,NULL,NULL,HERRAMIENTAS,https://server.com/img/cargador_026.jpg
4532D,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado mate. Formula mejorada.,10,Pintura,https://server.com/img/pintura_027.jpg
SKU-1028,Lijadora Roto Orbital Neumática,Lijadora de aire comprimido, alta velocidad.,30,HERRAMIENTAS MANUALES,https://server.com/img/lijadora_028.jpg
1029,Máscara de Soldar Fotosensible,Casco automático con oscurecimiento rápido.,15,seguridad,https://server.com/img/mascara_029.jpg
1030,Cinta de Embalaje Transparente,Cinta adhesiva de polipropileno. 48mm x 50m.,100,EMBALAJES,https://server.com/img/cinta_030.jpg
1031,Cemento de Contacto 1/4 Galón,Adhesivo industrial de secado rápido para madera y cuero.,NULL,QUÍMICOS,https://server.com/img/cemento_031.jpg
4532E,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado satín. Nuevo color.,13,Pinturas,https://server.com/img/pintura_032.jpg
1033,Set de Brocas para Madera 10pcs,Brocas de acero rápido con punta de centrado.,110,Brocas,https://server.com/img/brocas_033.jpg
NULL,Codo PVC 90 grados 1/2 pulg,Codo para fontanería de presión.,400,fontaneria,https://server.com/img/codo_034.jpg
1035,Clavos de Acero 2 pulgadas,Caja de 1 kg de clavos lisos.,75,Fijaciones,https://server.com/img/clavos_035.jpg
SKU-1036,Bomba Sumergible 1/2 HP,Bomba para extracción de agua limpia.,5,JARDINERÍA,https://server.com/img/bomba_036.jpg
1037,Caja de Herramientas Plástico,Organizador de herramientas con bandeja extraíble.,22,Herramientas manuales,https://server.com/img/caja_037.jpg
1038,Llave de Tubo 18mm,Llave de boca fija para tuercas y pernos.,90,manuales,NULL
"1039,Lijadora de Banda 3x21"",Herramienta eléctrica de alta potencia.,15,HERRAMIENTAS,https://server.com/img/lijadora_039.jpg"
INV-2040,Soldadora Inverter 130 Amps,Equipo compacto para soldadura ARC.,7,SOLDADURA,https://server.com/img/soldadora_040.jpg
1041,Gafas de Seguridad Transparentes,Protección ocular contra impactos y polvo.,250,Seguridad,https://server.com/img/gafas_041.jpg
SKU-1042,Linterna Frontal LED Recargable,Linterna para casco con múltiples modos de luz.,-1,iluminación,https://server.com/img/linterna_042.jpg
1043,Kit de Fijación para Drywall,Tornillos y anclajes para placas de yeso.,130,FIJACIONES,https://server.com/img/kit_043.jpg
4532F,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado mate.,NULL,Pinturas,https://server.com/img/pintura_044.jpg
1045,Adhesivo Epóxico Bicomponente,Pegamento extra fuerte de dos partes.,160,QUÍMICOS,https://server.com/img/epoxico_045.jpg
1046,Tijeras de Podar Bypass,Tijeras para jardinería, hoja de acero inoxidable.,60,Jardinería,https://server.com/img/tijeras_046.jpg
1047,Nivel de Burbuja 60cm,Herramienta de medición con tres burbujas.,85,Herramientas,https://server.com/img/nivel_047.jpg
1048,Masilla Plástica para Carrocería,Masilla de poliéster para reparación de vehículos.,25,Quimicos,https://server.com/img/masilla_048.jpg
1049,Kit de Destornilladores Precisión,Set de 32 puntas intercambiables para electrónica.,115,manuales,https://server.com/img/kit_049.jpg
1050,Termofusora para PPR,Máquina para soldadura de tuberías plásticas.,5,FONTANERIA,https://server.com/img/termofusora_050.jpg
INV-2051,Cables para Soldadora 2 Metros,Cables de cobre para máquina de soldar.,35,Soldadura,https://server.com/img/cables_051.jpg
SKU-1052,Set de Llaves Allen Milimétricas,Juego de llaves hexagonales en estuche plástico.,105,HERRAMIENTAS MANUALES,https://server.com/img/allen_052.jpg
1053,Cerradura de Sobreponer,Cerradura para puerta de metal, incluye 3 llaves.,65,Herrajes,https://server.com/img/cerradura_053.jpg
4532G,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores.,14,PINTURA,https://server.com/img/pintura_054.jpg
1055,Motosierra a Gasolina 52cc,Potente motosierra para corte de leña.,3,Jardinería,https://server.com/img/motosierra_055.jpg
1056,Cinta Aislante Eléctrica Negra,Cinta de PVC de alta resistencia a la abrasión.,500,ELECTRICIDAD,https://server.com/img/cinta_056.jpg
1057,Medidor Digital de Humedad,Higrómetro para madera y materiales de construcción.,20,Herramientas,https://server.com/img/medidor_057.jpg
1058,Remachadora Manual Profesional,Herramienta para colocar remaches de aluminio y acero.,60,manuales,https://server.com/img/remachadora_058.jpg
1059,Pegamento de Poliuretano Expansivo,Espuma aislante para rellenar huecos y fisuras.,100,QUÍMICOS,https://server.com/img/poliuretano_059.jpg
SKU-1060,Disyuntor Térmico 20 Amps,Breaker de protección contra sobrecarga y cortocircuito.,80,ELECTRICIDAD,https://server.com/img/disyuntor_060.jpg
1061,Grifo para Lavaplatos Monomando,Grifo de cocina con caño giratorio.,28,Fontaneria,https://server.com/img/grifo_061.jpg
4532H,Pintura Acrílica Interior 1 Galón,NULL,NULL,PINTURA,NULL
1063,Tornillos para Madera Cabeza Plana,Tornillos de latón para carpintería fina. Caja de 500 gramos.,150,Tornillos,https://server.com/img/tornillos_063.jpg
1064,Carretilla de Obra 65L,Carretilla con rueda neumática para transporte de materiales.,10,SEGURIDAD,https://server.com/img/carretilla_064.jpg
1065,Aceite Lubricante Multiusos,Aceite penetrante y lubricante en spray. 400ml.,200,quimicos,https://server.com/img/aceite_065.jpg
NULL,Motosierra Eléctrica,Motosierra con motor eléctrico de 2000W.,4,Jardinería,https://server.com/img/motosierra_066.jpg
1067,Multímetro Digital,Instrumento para medir voltaje, corriente y resistencia.,17,Herramientas,https://server.com/img/multimetro_067.jpg
"1068,Esmeriladora Angular 4 1/2"",Máquina para pulir y cortar metal.,25,Herramientas,https://server.com/img/esmeriladora_068.jpg"
1069,Kit de Reparación de Neumáticos,Set para parchar llantas sin cámara.,90,manuales,https://server.com/img/kit_069.jpg
INV-2070,Pinzas Porta Electrodo 300A,Pinzas de alta resistencia para soldadura.,40,SOLDADURA,https://server.com/img/pinzas_070.jpg
1071,Boquilla de Riego Ajustable,Boquilla para manguera de jardín con varios patrones de riego.,110,JARDINERÍA,https://server.com/img/boquilla_071.jpg
SKU-1072,Regulador de Voltaje 1000W,Protector contra picos de tensión y fluctuaciones.,-3,ELECTRICIDAD,https://server.com/img/regulador_072.jpg
1073,Bisagras de Piano 1.5m,Bisagra continua de acero. Se vende por metro.,75,Herrajes,https://server.com/img/bisagra_073.jpg
4532I,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado mate. Últimas unidades.,16,Pinturas,https://server.com/img/pintura_074.jpg
1075,Limas para Metal Set 5pcs,Set de limas planas, redondas y triangulares.,45,manuales,https://server.com/img/limas_075.jpg
1076,Kit de Juntas y O-Rings,Surtido de sellos de goma para reparaciones de fontanería.,200,FONTANERIA,https://server.com/img/o_rings_076.jpg
1077,Cable Eléctrico THHN #12,Conductor de cobre para instalaciones residenciales.,NULL,ELECTRICIDAD,https://server.com/img/cable_077.jpg
1078,Pico de Loro para Jardinería,Pala pequeña y puntiaguda para trabajar la tierra.,60,jardinería,https://server.com/img/pico_078.jpg
1079,Sierra de Calar 500W,Herramienta para cortes curvos y detallados en madera.,20,Herramientas,NULL
1080,Removedor de Pintura Gel,Decapante químico en formato gel. 1 Litro.,55,QUÍMICOS,https://server.com/img/removedor_080.jpg
1081,Tuercas Hexagonales Acero Inox,NULL,300,Fijaciones,https://server.com/img/tuercas_081.jpg
SKU-1082,Cincel SDS Plus,Cincel plano para rotomartillo.,70,HERRAMIENTAS MANUALES,https://server.com/img/cincel_082.jpg
1083,Brocas Forstner Set 7pcs,Brocas para agujeros ciegos en madera.,35,Brocas,https://server.com/img/brocas_083.jpg
4532J,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado mate.,11,Pintura,https://server.com/img/pintura_084.jpg
1085,Manguera de Presión para Compresor,Manguera de 10 metros con acoples rápidos.,15,Herramientas,https://server.com/img/manguera_085.jpg
NULL,Válvula Esférica 1/2 pulgada,Válvula de corte rápido para agua.,180,fontaneria,https://server.com/img/valvula_086.jpg
1087,Grapadora Manual para Tapicería,Grapadora de alto impacto para telas y maderas.,40,Manuales,https://server.com/img/grapadora_087.jpg
1088,Reflector LED de Emergencia,Reflector portátil con batería recargable.,25,ILUMINACION,https://server.com/img/reflector_088.jpg
1089,Cerradura Cilindro Europeo,Cilindro de alta seguridad para puertas.,80,HERRAJES,https://server.com/img/cilindro_089.jpg
INV-2090,Máscara de Gas con Filtro,Mascarilla de protección respiratoria con doble filtro.,12,SEGURIDAD,https://server.com/img/mascara_090.jpg
1091,Sika Impermeabilizante 4kg,Mortero impermeable para exteriores.,90,QUÍMICOS,https://server.com/img/sika_091.jpg
SKU-1092,Sierra de Mesa 10 pulgadas,Sierra estacionaria para carpintería pesada.,4,HERRAMIENTAS,https://server.com/img/sierra_092.jpg
1093,Tornillos Autoperforantes,Caja de 1000 unidades, cabeza hexagonal.,150,fijaciones,https://server.com/img/tornillos_093.jpg
4532K,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores.,NULL,PINTURA,https://server.com/img/pintura_094.jpg
1095,Kit de Accesorios para Dremel,Set de 100 piezas para herramientas rotativas.,60,CONSUMIBLES,https://server.com/img/kit_095.jpg
1096,Cepillo de Alambre Circular,Cepillo para pulir y remover óxido.,250,consumibles,https://server.com/img/cepillo_096.jpg
1097,Sierra Caladora de Banco,Sierra de precisión para cortes complejos.,3,Herramientas,https://server.com/img/sierra_097.jpg
1098,Destornillador Aislado VDE,Destornillador certificado para trabajos con electricidad.,85,ELECTRICIDAD,https://server.com/img/destorn_098.jpg
1099,Regadera de Plástico 5 Litros,Regadera para plantas de jardín, color verde.,100,JARDINERÍA,https://server.com/img/regadera_099.jpg
1100-F,Medidor Láser de Distancia 50m,Telémetro láser con funciones de área y volumen.,-8,Herramientas,https://server.com/img/medidor_100.jpg
SKU-1101,Caja de Herramientas Metálica Grande,Caja de herramientas de acero con 5 compartimentos.,25,Herramientas manuales,https://server.com/img/caja_101.jpg
NULL,Sierra de Sable Inalámbrica 20V,Potente sierra para demolición y corte de madera.,12,HERRAMIENTAS,https://server.com/img/sierra_102.jpg
1103,Batería de Litio 4.0Ah 20V,Batería de alto rendimiento para herramientas eléctricas.,150,CONSUMIBLES,NULL
77-PRM-B,Taladro Atornillador de Impacto,Taladro con función de impacto y motor sin escobillas.,-2,herramientas,https://server.com/img/atornillador_104.jpg
SKU_1105,Candado de Combinación 40mm,Candado de latón con combinación reajustable.,200,seguridad,https://server.com/img/candado_105.jpg
1106,Discos de Lija Grano 80 50pcs,Discos de óxido de aluminio para lijadora orbital.,400,Consumibles,https://server.com/img/discos_106.jpg
INV-1107,Pegamento de Contacto Transparente,Adhesivo multiuso de secado rápido. 100ml.,NULL,QUÍMICOS,https://server.com/img/pegamento_107.jpg
1108,Juego de Brocas HSS Titanio 20pcs,Brocas de acero rápido con recubrimiento de titanio para me,95,Brocas,https://server.com/img/brocas_108.jpg
"N/A,Regulador de Presión de Agua 1/2"",Regulador para instalaciones de fontanería.,30,FONTANERIA,https://server.com/img/reg_presion_109.jpg"
1110,Foco LED Industrial 150W,Foco de alta luminosidad para naves industriales.,50,ILUMINACION,https://server.com/img/foco_110.jpg
"1111,Grifo de Bola PVC 1"",Válvula de esfera para control de flujo de agua.,120,fontaneria,https://server.com/img/grifo_111.jpg"
SKU-1112,Pintura Epóxica para Pisos 1 Galón,Recubrimiento de alta resistencia para suelos de concreto.,5,PINTURA,https://server.com/img/pintura_112.jpg
1113,Cuchilla para Cúter Industrial,Cuchillas de repuesto de alta durabilidad.,300,Consumibles,https://server.com/img/cuchilla_113.jpg
1114-B,Arnés de Seguridad Corporal,Arnés completo de 5 puntos de anclaje.,15,SEGURIDAD,NULL
NULL,Silicona de Alta Temperatura,Sellador de silicona para motores y hornos.,180,quimicos,https://server.com/img/silicona_115.jpg
1116,Tornillos Cabeza Hexagonal,Tornillo estructural galvanizado.,-1,Fijaciones,https://server.com/img/tornillo_116.jpg
1117,Bomba de Agua Periférica 1/4 HP,Bomba autocebante para uso doméstico.,8,Jardinería,https://server.com/img/bomba_117.jpg
SKU_1118,Tubo de Cobre 3/4 pulgada,Tubo rígido para instalaciones de gas o agua.,40,FONTANERIA,https://server.com/img/tubo_118.jpg
1119,Linterna de Mano Recargable,Linterna táctica de alto poder lumínico.,100,iluminación,https://server.com/img/linterna_119.jpg
INV-1120,Kit de Llaves Combinadas 10pcs,Set de llaves mixtas en estuche de tela.,70,HERRAMIENTAS MANUALES,https://server.com/img/llaves_120.jpg
1121,Pistola de Calor Eléctrica 2000W,Herramienta para termocontracción y decapado de pintura.,20,Herramientas,https://server.com/img/pistola_121.jpg
1122,Adhesivo Instantáneo Cianoacrilato,Pegamento líquido de secado rápido.,250,QUÍMICOS,https://server.com/img/adhesivo_122.jpg
4532L,Pintura Caucho Clorado Piscinas,Pintura impermeable para piscinas. Color azul.,8,Pinturas,https://server.com/img/pintura_123.jpg
1124,Set de Brocas Escalonadas HSS,Brocas cónicas para perforar lámina metálica.,50,Brocas,https://server.com/img/brocas_124.jpg
1125,Válvula de Flotador para Tanque,Válvula para el control automático del nivel de agua.,95,fontaneria,https://server.com/img/valvula_125.jpg
SKU-1126,Sensor de Movimiento PIR Exterior,Detector de movimiento para activar luces de seguridad.,-5,ELECTRICIDAD,https://server.com/img/sensor_126.jpg
1127,Candado de Cable Bici/Moto,Candado de cable de acero trenzado con cerradura de llave.,110,seguridad,https://server.com/img/candado_127.jpg
NULL,Malla Sombra Raschel 90% 4x5m,Malla para protección solar en jardines y cultivos.,15,JARDINERÍA,https://server.com/img/malla_128.jpg
1129,Eslinga de Amarre con Matraca 5m,Cinta de poliéster para asegurar carga pesada.,65,SEGURIDAD,NULL
INV-1130,Set de Pinceles y Brochas Pintura,Variedad de tamaños para acabados finos.,130,CONSUMIBLES,https://server.com/img/pinceles_130.jpg
1131,Sellador Acrílico para Concreto,Sellador transparente que protege y da brillo al concreto.,NULL,QUÍMICOS,https://server.com/img/sellador_131.jpg
4532M,Pintura Base Agua Mate 1 Galón,Pintura de calidad estándar para interiores.,19,Pintura,https://server.com/img/pintura_132.jpg
1133,Taladro de Columna de Banco 1/2HP,Taladro estacionario para perforaciones precisas.,4,HERRAMIENTAS,https://server.com/img/taladro_133.jpg
"1134,Conector Rápido Manguera 1/2"",Acople de plástico para manguera de jardín.,250,Jardinería,https://server.com/img/conector_134.jpg"
SKU_1135,Tornillos para Lámina Punta Fina,Caja de 500 unidades para techado ligero.,180,Fijaciones,https://server.com/img/tornillo_135.jpg
1136,Lámpara Colgante Vintage,Lámpara de techo estilo industrial con acabado metálico.,30,iluminación,https://server.com/img/lampara_136.jpg
NULL,Interruptor de Pared Triple,Interruptor modular de tres vías.,90,ELECTRICIDAD,https://server.com/img/interruptor_137.jpg
1138,Destornillador Phillips #2 Aislado,Herramienta manual certificada VDE.,65,HERRAMIENTAS MANUALES,https://server.com/img/destorn_138.jpg
1139,Cerradura de Palanca para Interior,Pomo con cerradura para puerta de dormitorio.,70,Herrajes,https://server.com/img/cerradura_139.jpg
INV-1140,Bomba de Achique Sumergible 1HP,Bomba para drenar sótanos y áreas inundadas.,3,FONTANERIA,https://server.com/img/bomba_140.jpg
1141,Pintura Spray Negro Mate,Aerosol de secado rápido para metal y madera.,200,pintura,https://server.com/img/spray_141.jpg
SKU-1142,Botas de Seguridad Puntera Acero,Botas de cuero con suela antideslizante.,15,SEGURIDAD,https://server.com/img/botas_142.jpg
"1143,Juego de Dados y Matracas 1/2"",Set de 24 piezas de herramientas mecánicas.,40,Manuales,https://server.com/img/dados_143.jpg"
4532N,Pintura Exterior Acrílica 1 Galón,Pintura base agua para fachadas.,22,PINTURAS,https://server.com/img/pintura_144.jpg
1145,Cable UTP Cat 6 305m,Cable de red Ethernet para instalaciones de datos.,NULL,ELECTRICIDAD,https://server.com/img/cable_145.jpg
1146,Removedor de Óxido Líquido,Producto químico para disolver el óxido en metales.,80,QUÍMICOS,https://server.com/img/removedor_146.jpg
1147,Set de Sierra Copa Bimetálica,Brocas de corona para madera y metal.,35,Brocas,https://server.com/img/sierra_copa_147.jpg
1148,Aspersor de Impacto para Riego,Aspersor de metal para cobertura de área grande.,55,jardinería,https://server.com/img/aspersor_148.jpg
1149,Cinta de Teflón para Roscas,Cinta selladora para conexiones de fontanería.,500,FONTANERIA,https://server.com/img/teflon_149.jpg
1150-T,Reflector LED Slim 50W Exterior,Foco delgado para iluminación de fachadas.,90,ILUMINACION,https://server.com/img/reflector_150.jpg
"NULL,Manguera de Presión 1/4"" para Pintura,Manguera para pistolas de pintura de alta presión.,10,Consumibles,NULL"
SKU-1152,Kit de Reparación de Fibra de Vidrio,Resina y catalizador para reparaciones automotrices.,20,quimicos,https://server.com/img/kit_fibra_152.jpg
"1153,Banda de Lija para Lijadora 3x21"",Set de 10 bandas abrasivas grano 100.,100,CONSUMIBLES,https://server.com/img/banda_lija_153.jpg"
4532O,Pintura Vinílica Económica 1 Galón,Pintura de bajo costo para recubrimientos básicos.,15,PINTURAS,https://server.com/img/pintura_154.jpg
1155,Llave Fija Doble Boca 10/11mm,Herramienta manual de doble extremo.,70,Manuales,https://server.com/img/llave_fija_155.jpg
1156,Kit de Brocas SDS Max 4pcs,Brocas pesadas para martillos perforadores.,-7,Brocas,https://server.com/img/brocas_156.jpg
1157,Medidor de Distancia Ultrasónico,Medidor de área y volumen con tecnología sónica.,30,Herramientas,https://server.com/img/medidor_157.jpg
1158,Lupa de Soporte con Iluminación,Lente de aumento para trabajos de precisión y soldadura.,45,ILUMINACION,https://server.com/img/lupa_158.jpg
1159,Conector Macho PEX 1/2 pulgada,Conector para tubería PEX.,300,fontaneria,https://server.com/img/conector_159.jpg
INV-1160,Kit de Soldadura Portátil Gas,Mini soplete a gas butano para soldadura ligera.,50,SOLDADURA,https://server.com/img/soldadura_160.jpg
1161,Guantes de Cuero para Soldador,Guantes largos resistentes al calor y las chispas.,60,Seguridad,https://server.com/img/guantes_161.jpg
SKU-1162,Cerradura de Alta Seguridad Multipunto,Cerradura con varios puntos de anclaje para puertas blindadas.,20,HERRAJES,https://server.com/img/cerradura_162.jpg
4532P,Pintura Impermeabilizante Techo,Recubrimiento acrílico para techos, color blanco.,10,Pinturas,https://server.com/img/pintura_163.jpg
1164,Set de Formones para Madera 6pcs,Herramientas de corte para tallado y carpintería.,40,HERRAMIENTAS MANUALES,https://server.com/img/formones_164.jpg
"1165,Discos de Diamante para Cerámica 4"",Disco de corte fino para azulejos y cerámica.,120,consumibles,https://server.com/img/disco_165.jpg"
NULL,Adhesivo Monta-Todo Profesional,Pegamento de agarre inmediato para construcción.,NULL,QUÍMICOS,https://server.com/img/adhesivo_166.jpg
1167,Cable Coaxial RG-6 100m,Cable para instalaciones de televisión y satélite.,50,ELECTRICIDAD,https://server.com/img/cable_167.jpg
1168,Mochila para Herramientas Reforzada,Mochila con múltiples bolsillos y base impermeable.,18,Herramientas,https://server.com/img/mochila_168.jpg
1169,Set de Brocas para Vidrio y Azulejo,Brocas con punta de carburo especiales.,75,Brocas,https://server.com/img/brocas_169.jpg
INV-1170,Bomba de Drenaje para Condensados,Bomba para aires acondicionados y calderas.,15,Fontaneria,https://server.com/img/bomba_170.jpg
1171,Fertilizante Granulado NPK 1kg,Abono completo para jardinería.,300,JARDINERÍA,https://server.com/img/fertilizante_171.jpg
SKU-1172,Tirador de Puerta Acero Inoxidable,Manija de diseño moderno para puertas interiores.,95,Herrajes,https://server.com/img/tirador_172.jpg
4532Q,Pintura Base Agua Mate 1 Galón,Pintura interior de secado rápido. Color rojo.,17,Pintura,https://server.com/img/pintura_173.jpg
1174,Lámpara Fluorescente Circular 32W,Tubo circular para luminarias de techo.,80,ILUMINACION,https://server.com/img/fluorescente_174.jpg
1175,Cuchilla para Cepillo Eléctrico,Cuchillas de repuesto para cepilladoras de madera.,40,Consumibles,https://server.com/img/cuchilla_175.jpg
NULL,Manguera de Aire Comprimido 15m,Manguera con acoples rápidos para compresor.,NULL,Herramientas,https://server.com/img/manguera_176.jpg
1177,Rodillo de Textura para Pintura,Rodillo con diseño para crear acabados decorativos.,55,pintura,https://server.com/img/rodillo_177.jpg
1178,Adhesivo de Montaje Sin Clavos,Pegamento de alta resistencia para fijaciones pesadas.,130,QUÍMICOS,https://server.com/img/adhesivo_178.jpg
"1179,Tuerca Mariposa Galvanizada 1/4"",Tuerca de fácil manipulación.,400,Fijaciones,https://server.com/img/tuerca_179.jpg"
INV-1180,Caja de Derivación PVC Exterior,Caja resistente al agua y UV para instalaciones eléctricas.,75,ELECTRICIDAD,https://server.com/img/caja_180.jpg
1181,Candado de Disco para Moto/Bici,Candado de seguridad compacto para freno de disco.,50,seguridad,https://server.com/img/candado_181.jpg
SKU-1182,Cargador Universal USB Pared,Cargador con múltiples puertos USB para dispositivos.,150,ELECTRICIDAD,https://server.com/img/cargador_182.jpg
4532R,Pintura Spray Cromo Brillante,Aerosol de alto brillo con efecto cromo.,-4,Pinturas,https://server.com/img/spray_183.jpg
1184,Escuadra de Carpintero 30cm,Herramienta de medición y trazado.,80,HERRAMIENTAS MANUALES,https://server.com/img/escuadra_184.jpg
1185,Kit de Soldadura de Estaño Electrónica,Cautín de lápiz y carrete de estaño.,35,SOLDADURA,https://server.com/img/cautin_185.jpg
NULL,Bandeja de Pintura Plástica,Bandeja para rodillos de hasta 9 pulgadas.,120,Consumibles,https://server.com/img/bandeja_186.jpg
"1187,Válvula Solenoide de Riego 3/4"",Válvula eléctrica para sistemas de riego automáticos.,25,JARDINERÍA,https://server.com/img/valvula_187.jpg"
"1188,Llave de Paso Angular 1/2"",Llave de corte para sanitarios y lavamanos.,110,fontaneria,https://server.com/img/llave_paso_188.jpg"
1189,Lijadora Mouse para Detalle,Lijadora eléctrica con base triangular para esquinas.,18,Herramientas,https://server.com/img/lijadora_189.jpg
"INV-1190,Sierra de Inglete Telescópica 12"",Sierra para cortes angulares de alta precisión.,2,HERRAMIENTAS,NULL"
1191,Set de Brocas Saca Núcleos Diamante,Brocas para perforar porcelanato y mármol.,45,Brocas,https://server.com/img/brocas_191.jpg
SKU-1192,Tornillos para Madera Recubrimiento,Tornillos resistentes a la intemperie.,200,fijaciones,https://server.com/img/tornillo_192.jpg
4532S,Pintura Base Agua Mate 1 Galón,NULL,NULL,PINTURA,https://server.com/img/pintura_193.jpg
